<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YDEX;4H;24/07/24;080000;4542.00;4542.00;4195.50;4241.00;2613429
YDEX;4H;24/07/24;120000;4241.50;4248.00;4105.00;4112.00;1705608
YDEX;4H;24/07/24;160000;4111.00;4158.00;4100.00;4147.50;829819
YDEX;4H;24/07/24;200000;4147.00;4150.00;4123.50;4148.50;151926
YDEX;4H;25/07/24;080000;4153.50;4186.00;4070.00;4084.00;805518
YDEX;4H;25/07/24;120000;4083.00;4125.00;4079.00;4109.00;539157
YDEX;4H;25/07/24;160000;4108.00;4146.00;4097.00;4130.00;504086
YDEX;4H;25/07/24;200000;4129.50;4139.50;4121.00;4137.50;56842
YDEX;4H;26/07/24;080000;4137.50;4176.50;4120.50;4158.00;542685
YDEX;4H;26/07/24;120000;4158.00;4169.00;3933.00;3972.00;2153355
YDEX;4H;26/07/24;160000;3971.50;4036.00;3960.50;3977.50;1180405
YDEX;4H;26/07/24;200000;3979.00;3998.00;3931.00;3962.50;311544
YDEX;4H;29/07/24;080000;3935.00;3935.00;3810.00;3821.00;1658747
YDEX;4H;29/07/24;120000;3819.00;3904.50;3783.00;3887.50;1687870
YDEX;4H;29/07/24;160000;3887.00;3932.50;3803.00;3833.50;1128276
YDEX;4H;29/07/24;200000;3834.50;3886.00;3829.00;3867.00;256057
YDEX;4H;30/07/24;080000;3917.00;3944.00;3809.00;3883.50;2075300
YDEX;4H;30/07/24;120000;3884.00;3919.00;3880.00;3911.50;815697
YDEX;4H;30/07/24;160000;3911.50;3949.00;3881.00;3907.00;1043421
YDEX;4H;30/07/24;200000;3907.50;3922.00;3902.50;3910.00;135710
YDEX;4H;31/07/24;080000;3915.50;3954.50;3902.50;3920.00;632287
YDEX;4H;31/07/24;120000;3920.00;3920.00;3865.50;3873.50;1033260
YDEX;4H;31/07/24;160000;3873.50;3900.00;3871.00;3892.50;257588
YDEX;4H;31/07/24;200000;3893.00;3897.50;3876.00;3892.00;84409
YDEX;4H;01/08/24;080000;3895.00;3910.00;3867.00;3894.50;362883
