<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YDEX;D;24/07/24;000000;4542.0;4542.0;4100.0;4148.5;5300782
YDEX;D;25/07/24;000000;4153.5;4186.0;4070.0;4137.5;1905603
YDEX;D;26/07/24;000000;4137.5;4176.5;3931.0;3962.5;4187989
YDEX;D;29/07/24;000000;3935.0;3935.0;3783.0;3867.0;4730950
YDEX;D;30/07/24;000000;3917.0;3949.0;3809.0;3910.0;4070128
YDEX;D;31/07/24;000000;3915.5;3954.5;3865.5;3892.0;2007544
YDEX;D;01/08/24;000000;3895.0;3921.0;3861.0;3871.5;1226606
YDEX;D;02/08/24;000000;3871.5;3874.0;3726.0;3728.5;2611364
YDEX;D;05/08/24;000000;3605.5;3657.0;3551.0;3585.0;3840829
YDEX;D;06/08/24;000000;3643.0;3700.0;3564.0;3644.0;2341885
YDEX;D;07/08/24;000000;3661.5;3876.0;3605.0;3854.0;4359542
YDEX;D;08/08/24;000000;3860.0;3929.5;3790.5;3828.0;3522485
YDEX;D;09/08/24;000000;3826.0;3870.5;3792.5;3854.5;1123907
YDEX;D;12/08/24;000000;3829.0;3923.0;3805.5;3923.0;1658809
YDEX;D;13/08/24;000000;3938.0;3964.0;3903.5;3911.0;1118537
YDEX;D;14/08/24;000000;3915.0;3929.0;3825.0;3831.5;996717
YDEX;D;15/08/24;000000;3832.0;3860.0;3783.0;3828.0;1129756
YDEX;D;16/08/24;000000;3828.5;3856.0;3756.0;3776.5;1084178
YDEX;D;19/08/24;000000;3799.0;3825.0;3680.5;3725.5;1905573
YDEX;D;20/08/24;000000;3742.0;3787.5;3683.5;3753.0;1234119
YDEX;D;21/08/24;000000;3755.0;3853.0;3712.5;3836.5;1344017
YDEX;D;22/08/24;000000;3836.5;3884.0;3760.5;3794.0;1505016
YDEX;D;23/08/24;000000;3794.0;3836.5;3730.0;3807.0;1390128
YDEX;D;26/08/24;000000;3880.0;3945.0;3851.0;3913.5;1751792
YDEX;D;27/08/24;000000;3910.5;3942.5;3828.5;3844.0;910370
YDEX;D;28/08/24;000000;3844.0;3920.0;3819.0;3892.5;1268153
YDEX;D;29/08/24;000000;3902.0;3944.5;3840.0;3926.0;1113382
YDEX;D;30/08/24;000000;3954.0;3972.5;3731.0;3765.5;1671578
YDEX;D;02/09/24;000000;3730.5;3762.0;3583.5;3620.5;2474527
YDEX;D;03/09/24;000000;3635.0;3707.0;3568.0;3652.0;1935125
YDEX;D;04/09/24;000000;3655.0;3744.0;3628.0;3737.0;1025998
YDEX;D;05/09/24;000000;3761.0;3769.5;3669.0;3679.5;962185
YDEX;D;06/09/24;000000;3681.5;3745.5;3641.0;3715.0;677793
YDEX;D;09/09/24;000000;3740.0;3888.0;3738.5;3883.5;1424505
YDEX;D;10/09/24;000000;3905.0;3905.5;3771.0;3825.0;1116225
YDEX;D;11/09/24;000000;3822.0;3878.0;3777.0;3782.0;1316846
YDEX;D;12/09/24;000000;3792.0;3829.5;3736.0;3828.5;1164435
YDEX;D;13/09/24;000000;3820.0;3920.0;3762.5;3914.5;1698703
YDEX;D;16/09/24;000000;3933.0;4135.0;3921.0;4119.0;3001023
YDEX;D;17/09/24;000000;4128.5;4175.5;4052.5;4106.0;1989210
YDEX;D;18/09/24;000000;4115.0;4130.0;4020.0;4031.0;1030090
YDEX;D;19/09/24;000000;4050.0;4150.0;4026.0;4137.5;1409406
YDEX;D;20/09/24;000000;4075.0;4135.0;4065.0;4100.0;1216895
