<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YDEX;D;24/01/22;000000;3495;3550;3094.8;3345;4851065
YDEX;D;25/01/22;000000;3325.2;3477;3225;3409.2;3461723
YDEX;D;26/01/22;000000;3424;3563.8;3314.4;3364.8;3250109
YDEX;D;27/01/22;000000;3320;3595;3276;3405.2;4035166
YDEX;D;28/01/22;000000;3421;3525;3371.6;3448.4;3395043
YDEX;D;31/01/22;000000;3487;3718.2;3456;3717.6;2663098
YDEX;D;01/02/22;000000;3715;3944.8;3662.8;3724;3344738
YDEX;D;02/02/22;000000;3749;3840;3640;3675;2710466
YDEX;D;03/02/22;000000;3629.8;3635.6;3483.4;3517;2413099
YDEX;D;04/02/22;000000;3575;3644;3460.6;3502.4;2120916
YDEX;D;07/02/22;000000;3511.4;3550;3422.8;3468;1247103
YDEX;D;08/02/22;000000;3477.8;3625.8;3452.8;3624.2;1924481
YDEX;D;09/02/22;000000;3640;3777;3633.6;3763;2115707
YDEX;D;10/02/22;000000;3760;3900.2;3651.8;3805;2899424
YDEX;D;11/02/22;000000;3789.4;3828;3400;3429.8;3928913
YDEX;D;14/02/22;000000;3428.2;3540;3306.8;3471.4;4795126
YDEX;D;15/02/22;000000;3518.4;3992.8;3497.4;3953.2;7828656
YDEX;D;16/02/22;000000;3981;4184.4;3893;4044.8;5892747
YDEX;D;17/02/22;000000;4044;4044;3737.2;3772.6;4475290
YDEX;D;18/02/22;000000;3800;3880;3457;3475.4;5000023
YDEX;D;21/02/22;000000;3465;3648.8;2845;3065.8;10649817
YDEX;D;22/02/22;000000;3027.4;3409.8;2900;3154.8;10240422
YDEX;D;24/02/22;000000;2954;2954;1700;1990;9011283
YDEX;D;25/02/22;000000;1949.8;2385;1900;1931.2;5757694
YDEX;D;29/03/22;000000;2010;2173;1932;2020;2573925
YDEX;D;30/03/22;000000;2100.2;2250;2025;2154;1740526
YDEX;D;31/03/22;000000;2220.2;2290;2155;2259;1676144
YDEX;D;01/04/22;000000;2299.4;2460;2280;2325;2138371
YDEX;D;04/04/22;000000;2370.2;2420;2201;2285;1768864
YDEX;D;05/04/22;000000;2299;2340;2020;2158.4;1723047
YDEX;D;06/04/22;000000;2109;2145;2025;2070.8;1395892
YDEX;D;07/04/22;000000;2072;2246.2;2071;2130;1406513
YDEX;D;08/04/22;000000;2172;2188.6;2075;2115;620413
YDEX;D;11/04/22;000000;2120.8;2160;2071;2097;428052
YDEX;D;12/04/22;000000;2099.8;2115;1980.8;2074;471934
YDEX;D;13/04/22;000000;2081;2115;2050;2088;243959
YDEX;D;14/04/22;000000;2087;2099.2;1943;1945.2;511030
YDEX;D;15/04/22;000000;1955.8;1996;1900.2;1979.6;342649
YDEX;D;18/04/22;000000;1997.2;2019.2;1871.2;1880.2;419550
YDEX;D;19/04/22;000000;1885;1910.6;1732.2;1857.6;784163
YDEX;D;20/04/22;000000;1870;1890;1782.4;1789.8;780645
YDEX;D;21/04/22;000000;1798.2;1808.6;1642.8;1646;969505
YDEX;D;22/04/22;000000;1668.6;1695;1532;1692;1132432
YDEX;D;25/04/22;000000;1692.4;1698;1520;1520.8;816131
YDEX;D;26/04/22;000000;1520.2;1628;1500;1600.8;979187
YDEX;D;27/04/22;000000;1619;1770;1587;1748.6;914538
YDEX;D;28/04/22;000000;1761;1928.6;1717;1721;1223911
YDEX;D;29/04/22;000000;1735;1817.6;1734.2;1766.6;394680
YDEX;D;04/05/22;000000;1792.2;1813.6;1684.2;1699;368114
YDEX;D;05/05/22;000000;1717.8;1751.8;1703;1734.4;187108
YDEX;D;06/05/22;000000;1730;1731.4;1655;1688;199869
YDEX;D;11/05/22;000000;1688.2;1728.6;1634;1677.4;255168
YDEX;D;12/05/22;000000;1670.4;1681.2;1543.6;1594;259497
YDEX;D;13/05/22;000000;1604.6;1624.6;1574.2;1593;120870
