<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
YNDX;60;03/01/22;060000;4569.4;4569.4;4569.4;4569.4;191
YNDX;60;03/01/22;070000;4570.0;4625.0;4569.4;4590.8;26565
YNDX;60;03/01/22;080000;4587.4;4600.0;4583.0;4598.6;11791
YNDX;60;03/01/22;090000;4599.8;4600.0;4582.2;4594.6;14343
YNDX;60;03/01/22;100000;4593.4;4631.8;4585.0;4607.0;73850
YNDX;60;03/01/22;110000;4610.6;4631.8;4602.2;4629.6;40175
YNDX;60;03/01/22;120000;4628.2;4630.4;4603.0;4613.8;48161
YNDX;60;03/01/22;130000;4613.8;4624.6;4608.0;4611.0;37356
YNDX;60;03/01/22;140000;4611.0;4613.0;4596.8;4603.4;34065
YNDX;60;03/01/22;150000;4603.4;4603.6;4571.0;4583.0;60042
YNDX;60;03/01/22;160000;4582.8;4599.8;4577.6;4582.2;29887
YNDX;60;03/01/22;170000;4580.8;4606.4;4521.0;4546.4;183145
YNDX;60;03/01/22;180000;4547.2;4574.8;4535.6;4559.4;58827
YNDX;60;03/01/22;190000;4552.0;4556.6;4507.4;4507.4;76799
YNDX;60;03/01/22;200000;4510.4;4534.2;4506.0;4531.4;36993
YNDX;60;03/01/22;210000;4528.8;4534.0;4505.2;4517.2;48756
YNDX;60;03/01/22;220000;4517.4;4520.0;4506.6;4506.6;33220
YNDX;60;03/01/22;230000;4506.6;4520.0;4503.2;4515.2;34672
YNDX;60;04/01/22;060000;4525.8;4525.8;4525.8;4525.8;4
YNDX;60;04/01/22;070000;4525.8;4539.8;4513.0;4534.8;24720
YNDX;60;04/01/22;080000;4534.8;4544.8;4528.0;4536.0;24115
YNDX;60;04/01/22;090000;4538.8;4543.8;4520.0;4529.6;20520
YNDX;60;04/01/22;100000;4528.6;4534.8;4511.2;4533.4;34942
YNDX;60;04/01/22;110000;4533.4;4545.0;4527.8;4543.0;52379
YNDX;60;04/01/22;120000;4543.0;4555.0;4535.6;4544.8;33400
YNDX;60;04/01/22;130000;4545.0;4568.0;4545.0;4565.0;64905
YNDX;60;04/01/22;140000;4565.6;4575.0;4545.0;4553.6;40180
YNDX;60;04/01/22;150000;4550.6;4555.2;4535.2;4546.8;25691
YNDX;60;04/01/22;160000;4546.8;4548.8;4537.4;4546.2;24468
YNDX;60;04/01/22;170000;4546.2;4577.0;4506.0;4509.8;131611
YNDX;60;04/01/22;180000;4510.0;4510.4;4454.2;4454.2;199359
YNDX;60;04/01/22;190000;4418.0;4453.4;4413.0;4433.4;107322
YNDX;60;04/01/22;200000;4433.4;4440.8;4427.0;4434.0;36013
YNDX;60;04/01/22;210000;4434.0;4443.0;4420.4;4435.6;34846
YNDX;60;04/01/22;220000;4433.0;4458.4;4429.0;4458.4;23560
YNDX;60;04/01/22;230000;4459.0;4480.0;4455.2;4479.8;28759
YNDX;60;05/01/22;060000;4477.0;4477.0;4477.0;4477.0;55
YNDX;60;05/01/22;070000;4477.0;4477.0;4436.0;4450.0;15444
YNDX;60;05/01/22;080000;4449.2;4465.8;4442.2;4458.8;7621
YNDX;60;05/01/22;090000;4459.2;4463.6;4446.0;4460.0;5171
YNDX;60;05/01/22;100000;4456.4;4474.0;4437.2;4461.4;29240
YNDX;60;05/01/22;110000;4461.6;4470.0;4443.0;4468.2;46397
YNDX;60;05/01/22;120000;4466.0;4470.0;4459.0;4467.0;12714
YNDX;60;05/01/22;130000;4467.4;4472.0;4442.8;4447.6;23969
YNDX;60;05/01/22;140000;4447.6;4452.2;4420.0;4428.6;59251
YNDX;60;05/01/22;150000;4427.0;4443.8;4424.2;4441.8;23584
YNDX;60;05/01/22;160000;4442.8;4443.0;4425.0;4428.0;17157
YNDX;60;05/01/22;170000;4429.8;4455.0;4411.0;4415.4;146242
YNDX;60;05/01/22;180000;4415.2;4426.2;4383.4;4394.0;131532
YNDX;60;05/01/22;190000;4389.0;4394.2;4362.4;4390.0;82416
YNDX;60;05/01/22;200000;4390.0;4393.4;4360.2;4366.0;59182
YNDX;60;05/01/22;210000;4366.4;4368.8;4336.2;4350.0;71778
YNDX;60;05/01/22;220000;4350.0;4365.0;4275.0;4300.0;169437
YNDX;60;05/01/22;230000;4300.0;4301.2;4270.0;4275.0;89597
YNDX;60;06/01/22;060000;4269.6;4269.6;4269.6;4269.6;85
YNDX;60;06/01/22;070000;4275.0;4311.0;4269.6;4303.8;49548
YNDX;60;06/01/22;080000;4303.6;4340.0;4294.8;4305.0;30948
YNDX;60;06/01/22;090000;4307.2;4338.0;4292.0;4323.0;30552
YNDX;60;06/01/22;100000;4318.8;4374.2;4306.6;4341.2;127852
YNDX;60;06/01/22;110000;4344.2;4354.6;4240.2;4291.2;114972
YNDX;60;06/01/22;120000;4288.0;4314.0;4232.6;4278.6;104871
YNDX;60;06/01/22;130000;4278.2;4288.8;4256.0;4262.8;74743
YNDX;60;06/01/22;140000;4262.8;4273.4;4242.4;4256.0;56374
YNDX;60;06/01/22;150000;4257.2;4269.0;4242.0;4258.0;37241
YNDX;60;06/01/22;160000;4259.4;4274.2;4233.2;4257.8;57842
YNDX;60;06/01/22;170000;4255.2;4304.8;4231.6;4265.6;144166
YNDX;60;06/01/22;180000;4265.6;4278.0;4206.2;4241.2;139853
YNDX;60;06/01/22;190000;4287.8;4305.0;4252.2;4260.0;69383
YNDX;60;06/01/22;200000;4261.0;4284.8;4245.0;4275.2;24395
YNDX;60;06/01/22;210000;4274.8;4283.8;4250.4;4250.4;20889
YNDX;60;06/01/22;220000;4250.8;4268.8;4234.2;4237.2;47557
YNDX;60;06/01/22;230000;4236.8;4254.8;4215.0;4226.6;46736
YNDX;60;10/01/22;060000;4194.0;4194.0;4194.0;4194.0;467
YNDX;60;10/01/22;070000;4194.0;4244.2;4164.0;4235.2;28636
YNDX;60;10/01/22;080000;4237.8;4242.0;4229.0;4239.0;21020
YNDX;60;10/01/22;090000;4238.8;4262.4;4204.0;4209.2;46871
YNDX;60;10/01/22;100000;4209.0;4242.4;4202.0;4226.4;110046
YNDX;60;10/01/22;110000;4225.0;4234.6;4205.6;4221.0;93314
YNDX;60;10/01/22;120000;4221.0;4230.4;4204.0;4212.0;88725
YNDX;60;10/01/22;130000;4212.0;4221.0;4149.8;4172.0;142949
YNDX;60;10/01/22;140000;4174.2;4178.0;4153.0;4158.8;61690
YNDX;60;10/01/22;150000;4158.6;4171.0;4134.0;4134.0;83913
YNDX;60;10/01/22;160000;4134.2;4159.8;4122.4;4151.0;74365
YNDX;60;10/01/22;170000;4151.2;4158.6;4074.8;4095.0;238785
YNDX;60;10/01/22;180000;4096.6;4097.0;4061.4;4072.2;221627
YNDX;60;10/01/22;190000;4081.6;4151.8;4081.6;4147.8;77629
YNDX;60;10/01/22;200000;4150.0;4159.2;4121.0;4149.4;45082
YNDX;60;10/01/22;210000;4149.4;4178.0;4136.0;4162.0;41413
YNDX;60;10/01/22;220000;4159.8;4204.4;4158.6;4169.8;68698
YNDX;60;10/01/22;230000;4170.0;4199.8;4146.8;4196.4;47231
YNDX;60;11/01/22;060000;4217.2;4217.2;4217.2;4217.2;119
YNDX;60;11/01/22;070000;4217.2;4235.0;4177.8;4203.0;32051
YNDX;60;11/01/22;080000;4203.0;4225.0;4191.2;4218.0;14214
YNDX;60;11/01/22;090000;4218.0;4226.8;4181.0;4198.8;20523
YNDX;60;11/01/22;100000;4198.8;4247.2;4179.0;4222.0;78943
YNDX;60;11/01/22;110000;4225.8;4237.6;4222.6;4237.2;64789
YNDX;60;11/01/22;120000;4236.0;4307.4;4236.0;4295.0;124763
YNDX;60;11/01/22;130000;4296.0;4314.8;4279.4;4311.4;100954
YNDX;60;11/01/22;140000;4312.8;4318.0;4255.2;4283.6;100005
YNDX;60;11/01/22;150000;4283.6;4305.0;4267.0;4293.0;78686
YNDX;60;11/01/22;160000;4293.8;4304.0;4277.2;4282.6;86146
YNDX;60;11/01/22;170000;4281.0;4375.0;4262.4;4351.4;421016
YNDX;60;11/01/22;180000;4351.4;4389.0;4345.0;4347.0;291467
YNDX;60;11/01/22;190000;4361.0;4398.6;4353.2;4387.0;86070
YNDX;60;11/01/22;200000;4385.0;4392.0;4343.6;4356.6;62998
YNDX;60;11/01/22;210000;4354.2;4360.0;4327.0;4339.4;52357
YNDX;60;11/01/22;220000;4339.2;4355.0;4327.6;4347.0;26785
YNDX;60;11/01/22;230000;4347.2;4363.6;4332.0;4338.2;35474
YNDX;60;12/01/22;060000;4343.0;4343.0;4343.0;4343.0;99
YNDX;60;12/01/22;070000;4355.0;4373.0;4344.2;4364.2;21075
YNDX;60;12/01/22;080000;4364.2;4365.8;4330.0;4336.8;19011
YNDX;60;12/01/22;090000;4336.8;4370.0;4335.6;4360.0;19601
YNDX;60;12/01/22;100000;4357.4;4409.4;4350.6;4408.8;98361
YNDX;60;12/01/22;110000;4408.8;4431.8;4377.4;4382.2;131285
YNDX;60;12/01/22;120000;4382.2;4419.8;4382.2;4402.4;79494
YNDX;60;12/01/22;130000;4402.2;4455.6;4400.0;4452.4;170617
YNDX;60;12/01/22;140000;4452.8;4464.8;4441.0;4446.4;154176
YNDX;60;12/01/22;150000;4446.4;4449.4;4420.2;4430.4;69528
YNDX;60;12/01/22;160000;4430.2;4458.0;4409.0;4450.0;80811
YNDX;60;12/01/22;170000;4450.0;4451.0;4390.2;4429.8;162441
YNDX;60;12/01/22;180000;4431.6;4444.2;4375.0;4384.0;280211
YNDX;60;12/01/22;190000;4389.0;4398.0;4361.0;4394.8;69484
YNDX;60;12/01/22;200000;4392.8;4442.4;4390.2;4430.0;48172
YNDX;60;12/01/22;210000;4432.8;4434.6;4400.6;4407.8;37288
YNDX;60;12/01/22;220000;4407.4;4414.8;4390.0;4400.2;25104
YNDX;60;12/01/22;230000;4400.6;4403.0;4380.2;4393.2;20818
YNDX;60;13/01/22;060000;4393.2;4393.2;4393.2;4393.2;132
YNDX;60;13/01/22;070000;4393.0;4416.8;4380.0;4402.0;19330
YNDX;60;13/01/22;080000;4402.0;4415.8;4396.2;4401.0;18830
YNDX;60;13/01/22;090000;4401.0;4410.0;4390.4;4400.0;11178
YNDX;60;13/01/22;100000;4400.0;4409.8;4370.6;4404.0;77209
YNDX;60;13/01/22;110000;4404.0;4415.0;4375.0;4381.4;45037
YNDX;60;13/01/22;120000;4381.4;4385.2;4370.6;4383.2;37834
YNDX;60;13/01/22;130000;4384.2;4409.0;4378.0;4393.8;35140
YNDX;60;13/01/22;140000;4394.6;4400.0;4281.6;4289.8;219474
YNDX;60;13/01/22;150000;4288.2;4330.0;4277.6;4298.2;207964
YNDX;60;13/01/22;160000;4299.8;4344.0;4285.0;4338.8;116463
YNDX;60;13/01/22;170000;4338.8;4450.0;4304.2;4376.0;352298
YNDX;60;13/01/22;180000;4374.2;4377.6;4247.6;4268.6;341928
YNDX;60;13/01/22;190000;4268.6;4291.4;4226.0;4228.6;126053
YNDX;60;13/01/22;200000;4226.8;4227.0;4150.0;4169.4;137664
YNDX;60;13/01/22;210000;4168.8;4193.8;4159.0;4175.8;114758
YNDX;60;13/01/22;220000;4176.8;4220.0;4166.0;4182.8;59073
YNDX;60;13/01/22;230000;4179.0;4183.8;4150.0;4168.0;58734
YNDX;60;14/01/22;060000;4153.0;4153.0;4153.0;4153.0;224
YNDX;60;14/01/22;070000;4175.2;4232.0;4155.2;4223.0;34632
YNDX;60;14/01/22;080000;4222.6;4250.0;4184.2;4200.4;33227
YNDX;60;14/01/22;090000;4200.4;4227.0;4176.8;4202.2;22897
YNDX;60;14/01/22;100000;4202.0;4244.0;4122.0;4145.8;131308
YNDX;60;14/01/22;110000;4145.8;4173.4;4142.0;4160.4;70884
YNDX;60;14/01/22;120000;4160.0;4180.0;4072.0;4140.0;189982
YNDX;60;14/01/22;130000;4138.0;4149.0;4001.0;4039.4;286062
YNDX;60;14/01/22;140000;4039.0;4078.2;4022.4;4054.2;152939
YNDX;60;14/01/22;150000;4054.8;4091.6;4038.2;4062.0;81408
YNDX;60;14/01/22;160000;4062.0;4064.0;3726.0;3959.6;834549
YNDX;60;14/01/22;170000;3959.2;4116.8;3906.6;4106.2;612942
YNDX;60;14/01/22;180000;4109.6;4109.8;3982.8;3999.8;311075
YNDX;60;14/01/22;190000;3955.6;3974.0;3907.6;3931.8;189476
YNDX;60;14/01/22;200000;3936.6;3957.0;3887.2;3920.4;107370
YNDX;60;14/01/22;210000;3920.0;3925.4;3840.0;3895.0;129399
YNDX;60;14/01/22;220000;3895.0;3919.0;3860.0;3908.0;84513
YNDX;60;14/01/22;230000;3908.4;3938.6;3894.4;3938.6;55808
YNDX;60;17/01/22;060000;3952.0;3952.0;3952.0;3952.0;105
YNDX;60;17/01/22;070000;3953.2;4000.2;3875.0;3965.0;126265
YNDX;60;17/01/22;080000;3965.0;3990.0;3943.8;3978.0;39446
YNDX;60;17/01/22;090000;3976.6;4017.2;3962.6;3992.6;74051
YNDX;60;17/01/22;100000;3992.4;4085.0;3974.2;3990.6;219725
YNDX;60;17/01/22;110000;3990.6;4044.4;3920.0;3997.8;243400
