num,ticker,entry_dt,exit_dt,entry_price,exit_price,shares,pnl,pnl_pct,reason,tp_hit,hold_bars,capital_after
1,ROSN,2022-01-12 14:00,2022-01-13 10:00,629.06,621.05,52,-449.17,-1.37,SL,0,13,99550.83
2,GAZP,2022-01-27 17:00,2022-01-28 09:00,325.86,326.12,100,366.94,1.13,SL,1,9,79323.02
3,SBER,2022-01-27 17:00,2022-02-01 20:00,257.31,261.1,80,648.11,3.15,SL,2,54,100565.88
4,ROSN,2022-02-04 13:00,2022-02-04 14:00,596.06,585.27,55,-625.76,-1.91,SL,0,1,99940.12
5,MTLR,2022-02-10 13:00,2022-02-11 09:00,147.35,142.16,220,-1173.74,-3.62,SL,0,6,98766.38
6,NLMK,2022-02-15 17:00,2022-02-16 12:00,235.88,231.49,130,-600.95,-1.96,SL,0,12,77237.18
7,MTLR,2022-02-16 11:00,2022-02-16 12:00,160.91,155.7,130,-697.8,-3.33,SL,0,1,97467.63
8,MTLR,2022-04-11 13:00,2022-04-11 17:00,111.98,107.87,280,-1183.2,-3.77,SL,0,4,96284.43
9,GAZP,2022-04-27 11:00,2022-04-28 15:00,233.61,237.02,130,949.3,3.12,SL,2,14,97233.73
10,ROSN,2022-05-18 11:00,2022-05-20 11:00,401.54,394.81,54,-384.68,-1.77,SL,0,20,65751.6
11,GAZP,2022-05-17 17:00,2022-05-20 14:00,259.02,260.61,120,608.32,1.96,SL,2,27,97457.37
12,TGKA,2022-05-27 11:00,2022-05-30 11:00,0.01,0.01,3696000,-1173.57,-3.65,SL,0,10,96283.8
13,GAZP,2022-06-14 11:00,2022-06-15 10:00,315.75,316.0,100,326.94,1.03,SL,2,9,96610.74
14,LKOH,2022-06-16 11:00,2022-06-17 14:00,4195.42,4198.78,5,132.13,0.63,SL,1,13,64846.19
15,SBER,2022-06-20 18:00,2022-06-21 10:00,129.05,129.21,110,180.14,1.27,SL,2,2,43779.99
16,NVTK,2022-06-20 14:00,2022-06-21 13:00,923.29,990.81,23,704.87,3.32,TP3,3,9,65731.2
17,TGKA,2022-06-15 11:00,2022-06-28 17:00,0.01,0.01,3374000,1121.71,3.52,TIME,0,96,98749.59
18,T,2022-06-28 18:00,2022-06-29 10:00,1832.68,1857.46,17,927.29,2.97,SL,2,2,99676.88
19,T,2022-07-04 18:00,2022-07-05 10:00,1991.7,1993.29,16,355.09,1.11,SL,1,2,100031.97
20,NVTK,2022-07-27 11:00,2022-07-27 18:00,1035.5,1036.33,31,249.32,0.78,SL,1,7,81902.27
21,MGNT,2022-07-27 11:00,2022-07-29 12:00,4592.46,4811.32,4,390.65,2.13,TP3,3,21,100671.94
22,LKOH,2022-08-01 13:00,2022-08-01 15:00,4010.4,3936.29,8,-624.69,-1.95,SL,0,2,100047.25
23,ROSN,2022-08-16 16:00,2022-08-17 10:00,346.98,347.26,95,143.18,0.43,SL,1,4,100190.43
24,T,2022-08-17 11:00,2022-08-17 17:00,2518.75,2444.14,13,-1002.18,-3.06,SL,0,6,99188.26
25,T,2022-08-19 17:00,2022-08-22 11:00,2639.76,2877.88,12,1304.84,4.12,TP3,3,4,100493.1
26,NVTK,2022-08-23 09:00,2022-08-24 10:00,1153.12,1129.54,28,-692.06,-2.14,SL,0,11,77599.72
27,GAZP,2022-08-23 11:00,2022-08-24 16:00,184.92,182.64,120,-294.91,-1.33,SL,0,15,99506.12
28,TGKA,2022-08-26 11:00,2022-08-26 13:00,0.01,0.01,4082000,-482.9,-1.47,SL,0,2,99023.23
29,TGKA,2022-08-29 15:00,2022-08-29 16:00,0.01,0.01,3896000,-612.7,-1.87,SL,0,1,98410.53
30,GAZP,2022-08-30 09:00,2022-08-30 10:00,190.47,190.62,170,133.89,0.41,SL,1,1,98544.42
