ticker,entry_dt,exit_dt,entry,exit,reason,pos_size_rub,pnl_rub,pnl_pct,hold_days,win,tp_levels,risk_pct,capital_after
MTLR,2022-02-16,2022-02-18,158.575856,143.10088848,SL,10256.74,-1010.68,-9.854,2,False,0,0.01,98989.31758989103
PHOR,2022-03-29,2022-03-30,8840.884,8848.839911511599,SL,7521.83,222.55,2.959,1,True,1,0.01,99211.86411428823
MGNT,2022-08-01,2022-08-29,4889.4889,5437.95615,TIME,17939.83,1313.24,7.32,20,True,2,0.01,100525.10706724168
TATNP,2022-08-11,2022-09-08,400.44003999999995,409.959,TIME,15120.21,553.71,3.662,20,True,1,0.01,101078.82171021804
SBERP,2023-01-12,2023-01-17,149.204919,149.33918850660805,SL,27206.85,352.39,1.295,3,True,1,0.01,101431.21559866483
PLZL,2023-01-27,2023-01-30,877.5377450000001,878.3274412167256,SL,24547.99,380.26,1.549,1,True,1,0.01,101811.47550031709
OZON,2023-01-17,2023-02-14,1588.1588,1665.8334,TIME,18003.86,798.72,4.436,20,True,1,0.01,102610.19429412091
SBER,2023-01-19,2023-02-15,151.21511999999998,155.6975223755225,SL,27082.04,1126.99,4.161,19,True,2,0.01,103737.18729175425
MAGN,2023-02-02,2023-02-15,36.793679,36.8267896317321,SL,25051.57,361.02,1.441,9,True,1,0.01,104098.21023253076
SNGSP,2023-03-20,2023-03-27,28.612861,32.02557578487385,TP3,29261.05,1602.16,5.475,5,True,3,0.01,105700.36971716213
AFLT,2023-03-21,2023-03-27,29.862986,30.801870604256013,SL,21551.95,952.49,4.42,4,True,2,0.01,106652.85861892365
AFLT,2023-03-28,2023-03-31,33.253325,31.1965930720771,SL,8634.94,-542.44,-6.282,3,False,0,0.005,106110.41609982286
SNGSP,2023-03-28,2023-04-04,31.713171,32.73014150814277,SL,12475.32,562.6,4.51,5,True,2,0.005,106673.01484327904
SBER,2023-03-20,2023-04-17,196.039602,222.95770199999998,TIME,17290.99,1230.9,7.119,20,True,2,0.01,107903.90990639254
LKOH,2023-04-04,2023-04-20,4491.94915,4495.991455040085,SL,12771.68,184.58,1.445,12,True,1,0.005,108088.49224555565
AFLT,2023-04-20,2023-04-26,37.713771,37.7477096225229,SL,8006.97,188.85,2.359,4,True,1,0.005,108277.34650690059
GMKN,2023-04-17,2023-04-27,158.89588799999999,152.81311069090157,SL,14128.97,-554.74,-3.926,8,False,0,0.005,107722.60942231002
TATNP,2023-03-31,2023-04-28,372.33723000000003,414.05859000000004,TIME,12878.64,736.03,5.715,20,True,2,0.005,108458.64044274649
VTBR,2023-04-28,2023-05-03,112.51125,104.64307489528862,SL,7764.87,-550.51,-7.09,2,False,0,0.005,107908.13154362133
AFLT,2023-04-28,2023-05-04,40.254025,37.336193691264874,SL,7490.99,-550.21,-7.345,3,False,0,0.005,107357.92423064882
T,2023-05-23,2023-06-06,3200.32,3203.199967968,SL,8225.51,208.29,2.532,10,True,1,0.005,107566.21772540738
ROSN,2023-06-01,2023-06-06,452.0452,452.45199547548,SL,10808.53,189.51,1.753,3,True,1,0.005,107755.72403424999
TATN,2023-06-06,2023-06-15,474.94748999999996,490.81843815472513,SL,12246.6,576.0,4.703,6,True,2,0.005,108331.72427894159
MTSS,2023-05-19,2023-06-19,313.0313,344.9655,TIME,11060.91,735.12,6.646,20,True,2,0.005,109066.84149849645
MAGN,2023-06-16,2023-06-19,43.984398,44.02397955976019,SL,11247.36,199.11,1.77,1,True,1,0.005,109265.95175007019
CHMF,2023-06-20,2023-06-22,1154.91548,1155.9547884404517,SL,11806.04,211.66,1.793,2,True,1,0.005,109477.611309385
AFLT,2023-06-16,2023-06-23,43.50435,40.902567680678594,SL,9071.33,-551.31,-6.078,5,False,0,0.005,108926.2993714061
