ticker,entry_dt,exit_dt,entry,exit,reason,pos_rub,pnl_rub,pnl_pct,hold_days,win,tp_levels,risk_pct,capital_after
CHMF,2022-02-16,2022-02-21,1660.96608,1544.6337588796985,SL,30000.0,-2130.12,-7.1,3,False,0,0.05,97869.88206815624
PHOR,2022-03-29,2022-03-30,8840.884,7676.63226,SL,29360.96,-3893.96,-13.262,1,False,0,0.05,93975.92374507735
GAZP,2022-06-09,2022-06-30,310.031,287.25330104207376,SL,28192.78,-2098.46,-7.443,14,False,0,0.05,91877.4684032715
TGKA,2022-06-15,2022-06-30,0.0093629362,0.00858272865622184,SL,28192.78,-2376.3,-8.429,11,False,0,0.05,89501.16376427369
MTSS,2022-06-07,2022-07-06,267.176715,275.87241,TIME,28192.78,888.93,3.153,20,True,0,0.05,90390.09146827267
MGNT,2022-08-04,2022-09-01,4910.491,5479.452,TIME,27117.03,2658.74,9.805,20,True,1,0.05,93048.83376332778
TGKA,2022-09-01,2022-09-20,0.0089568956,0.008359097492459666,SL,27914.65,-1890.05,-6.771,13,False,0,0.05,91158.78048572343
OZON,2022-11-14,2022-12-12,1469.1469,1429.857,TIME,27347.63,-758.35,-2.773,20,False,0,0.05,90400.43147995016
IRAO,2023-01-10,2023-01-19,3.570357,3.41795651822533,SL,27120.13,-1184.16,-4.366,7,False,0,0.05,89216.26898209933
SBERP,2023-01-12,2023-02-09,149.204919,163.073691,TIME,27120.13,2021.09,7.452,20,True,2,0.05,91237.36030147073
MTSS,2023-01-17,2023-02-14,242.32423,259.37406,TIME,27120.13,1678.59,6.189,20,True,2,0.05,92915.954934984
PLZL,2023-01-26,2023-02-14,857.18571,890.4739501624234,SL,26764.88,1602.32,5.987,13,True,2,0.05,94518.27949504917
OZON,2023-01-19,2023-02-15,1563.65635,1565.0634843493647,SL,26764.88,455.38,1.701,19,True,1,0.05,94973.65602231011
MAGN,2023-02-01,2023-02-15,36.0036,36.03599963963999,SL,26764.88,313.38,1.171,10,True,1,0.05,95287.03593299998
SBER,2023-02-10,2023-02-15,165.0165,158.75261201131653,SL,24096.74,-938.33,-3.894,3,False,0,0.01,94348.70449154708
MTSS,2023-02-14,2023-02-15,259.42593999999997,250.67747918130476,SL,28108.9,-975.53,-3.471,1,False,0,0.01,93373.17045934376
MAGN,2023-03-10,2023-03-17,41.174117,39.53255953786091,SL,23476.73,-958.99,-4.085,5,False,0,0.01,92414.17561932659
PHOR,2023-03-27,2023-03-28,7385.7384999999995,7139.65658985331,SL,27724.25,-950.99,-3.43,1,False,0,0.01,91463.18212831763
AFLT,2023-03-28,2023-03-31,33.253325,31.36860456486939,SL,16164.34,-931.86,-5.765,3,False,0,0.01,90531.31900368661
MTLR,2023-03-17,2023-04-14,139.99399799999998,177.78222000000002,TIME,14476.09,2569.44,17.75,20,True,2,0.01,93100.76129057513
SNGSP,2023-03-24,2023-04-21,29.662966,36.34154452320408,TP3,25690.29,3324.53,12.941,20,True,3,0.01,96425.28922012937
TATNP,2023-03-28,2023-04-25,363.33633000000003,413.9586,TIME,26737.64,2609.39,9.759,20,True,2,0.01,99034.68278092032
TGKA,2023-03-28,2023-04-25,0.0086968696,0.009359064,TIME,21509.47,1615.44,7.51,20,True,0,0.01,100650.12194996598
AFLT,2023-03-31,2023-04-28,32.853285,40.245975,TIME,17046.43,2581.48,15.144,20,True,2,0.01,103231.6026078223
MTLR,2023-04-14,2023-05-02,177.81778,177.97779822022198,SL,14056.49,304.08,2.163,11,True,1,0.01,103535.68707936966
IRAO,2023-04-27,2023-05-02,4.080408,3.9648991690114244,SL,30195.04,-884.53,-2.929,2,False,0,0.01,102651.15348421359
TATNP,2023-04-28,2023-05-02,414.14141,399.25141978085793,SL,28789.43,-1063.36,-3.694,1,False,0,0.01,101587.78991213704
VTBR,2023-04-28,2023-05-03,112.51125,105.40964420575976,SL,16379.37,-1049.71,-6.409,2,False,0,0.01,100538.07681787787
AFLT,2023-05-02,2023-05-04,40.474047,37.75794910627137,SL,15159.22,-1031.94,-6.807,2,False,0,0.01,99506.13421197596
PLZL,2023-04-21,2023-05-19,1038.1038,997.206275628179,SL,24535.51,-990.66,-4.038,18,False,0,0.01,98515.47190676439
IRAO,2023-05-19,2023-05-29,4.290429,4.123590077435917,SL,25397.01,-1012.5,-3.987,6,False,0,0.01,97502.97286574212
LKOH,2023-05-16,2023-06-05,5068.5068,5282.478658926867,SL,22757.51,1482.92,6.516,14,True,2,0.01,98985.89545401884
NVTK,2023-06-05,2023-06-06,1349.1349,1284.4777723890238,SL,20695.5,-1012.03,-4.89,1,False,0,0.01,97973.866523477
T,2023-05-19,2023-06-19,3000.3,3519.648,TIME,21073.98,2903.95,13.78,20,True,2,0.01,100877.81402468741
MTSS,2023-05-24,2023-06-22,307.0307,345.56544,TIME,21324.87,2200.53,10.319,20,True,1,0.01,103078.3463318604
AFLT,2023-06-16,2023-06-23,43.50435,41.13687841261074,SL,18034.89,-998.99,-5.539,5,False,0,0.01,102079.35801738992
SNGS,2023-06-20,2023-06-23,27.262726,26.0782036803108,SL,23269.07,-1033.77,-4.443,3,False,0,0.01,101045.59016575584
PLZL,2023-06-22,2023-06-23,1126.91268,1075.2928845527683,SL,22550.03,-1054.97,-4.678,1,False,0,0.01,99990.62126017715
NLMK,2023-06-01,2023-06-30,146.694668,169.68303,TIME,22429.95,2698.91,12.033,20,True,2,0.01,102689.52824369316
TATNP,2023-06-01,2023-06-30,445.74457,504.24957,TIME,24263.87,2376.3,9.794,20,True,2,0.01,105065.82817221021
MGNT,2023-06-27,2023-07-25,4790.479,5831.4168,TIME,15616.33,2554.15,16.356,20,True,2,0.01,107619.98196652347
SNGSP,2023-07-03,2023-07-31,41.90419,46.005399,TIME,19172.39,1652.3,8.618,20,True,1,0.01,109272.28691347758
CHMF,2023-07-03,2023-07-31,1177.31772,1339.866,TIME,19286.33,2298.74,11.919,20,True,2,0.01,111571.02644697913
ALRS,2023-07-03,2023-07-31,70.61706099999999,84.041595,TIME,24632.39,3029.8,12.3,20,True,2,0.01,114600.82717291433
VTBR,2023-08-01,2023-08-03,129.51295,129.629498703705,SL,24860.77,372.46,1.498,2,True,1,0.01,114973.28847370618
MTLR,2023-07-31,2023-08-04,217.82178000000002,218.017797819822,SL,18732.96,348.14,1.858,4,True,1,0.01,115321.42516066937
AFLT,2023-08-01,2023-08-04,45.824582,43.89779537946498,SL,27317.65,-1175.37,-4.303,3,False,0,0.01,114146.05634277883
SBER,2023-08-04,2023-08-07,269.506948,260.7672996691108,SL,34243.82,-1144.16,-3.341,1,False,0,0.01,113001.89937562642
GMKN,2023-08-04,2023-08-08,166.51665,160.04991072403826,SL,29465.21,-1173.19,-3.982,2,False,0,0.01,111828.71334932325
SBER,2023-08-09,2023-08-16,265.496547,254.87328478667507,SL,28015.45,-1148.43,-4.099,5,False,0,0.01,110680.28158129631
OZON,2023-07-25,2023-08-22,2247.72475,2848.7151,TIME,20025.57,3376.77,16.862,20,True,2,0.01,114057.0521132672
TGKA,2023-07-25,2023-08-22,0.0115171516,0.011848815,TIME,12896.81,358.31,2.778,20,True,0,0.01,114415.36350667638
ROSN,2023-08-03,2023-08-31,522.802275,557.04429,TIME,34491.99,1942.63,5.632,20,True,1,0.01,116357.98910475726
TATN,2023-08-08,2023-09-05,549.15491,603.43965,TIME,24335.34,2053.09,8.437,20,True,1,0.01,118411.07910329818
LKOH,2023-08-31,2023-09-11,6859.18585,6532.330810348293,SL,24467.1,-1189.79,-4.863,7,False,0,0.01,117221.28473006327
TGKA,2023-08-30,2023-09-14,0.012681268,0.0116828316,SL,14549.07,-1159.47,-7.969,11,False,0,0.01,116061.81403916456
SNGSP,2023-10-02,2023-10-11,58.50585,54.82199131541933,SL,18460.04,-1180.23,-6.393,7,False,0,0.01,114881.58681550052
TATNP,2023-10-10,2023-10-11,643.56435,622.8847236916087,SL,34818.54,-1153.08,-3.312,1,False,0,0.01,113728.50499909952
LKOH,2023-10-13,2023-10-27,7143.7143,7150.142928498569,SL,26410.87,367.06,1.39,10,True,1,0.01,114095.56429361367
MGNT,2023-10-20,2023-10-31,5794.5794,5799.793942002059,SL,25793.72,400.32,1.552,7,True,1,0.01,114495.88857388026
MTLR,2023-10-11,2023-11-08,233.283326,293.88060900000005,TIME,20212.18,3510.49,17.368,20,True,2,0.01,118006.37464387766
ROSN,2023-10-30,2023-11-17,593.309325,569.0285381117769,SL,27945.14,-1171.01,-4.19,14,False,0,0.01,116835.36517751281
MTLR,2023-11-15,2023-11-20,315.0315,315.31499684684997,SL,16620.3,423.01,2.545,3,True,1,0.01,117258.37540976884
MTLR,2023-11-22,2023-11-27,327.582755,301.6053785843446,SL,14803.83,-1188.16,-8.026,3,False,0,0.01,116070.2119443655
OZON,2023-11-22,2023-11-28,2998.2998,2847.188772648128,SL,23309.98,-1197.52,-5.137,4,False,0,0.01,114872.691891097
SBER,2023-11-13,2023-11-30,280.42803999999995,272.7517478568724,SL,35401.91,-1003.99,-2.836,13,False,0,0.01,113868.70094170238
OZON,2023-11-28,2023-12-01,2909.2909,2756.723342284548,SL,21944.58,-1172.18,-5.342,3,False,0,0.01,112696.52523142815
CHMF,2024-01-09,2024-01-11,1469.1469,1470.46898529531,SL,29689.31,377.97,1.273,2,True,1,0.01,113074.49311708787
ALRS,2023-12-19,2024-01-18,72.797279,73.382661,TIME,20287.51,142.77,0.704,20,True,0,0.01,113217.26122359285
MGNT,2023-12-22,2024-01-23,6706.17055,6889.81095,TIME,25237.76,860.74,3.411,20,True,1,0.01,114078.0009141275
TATN,2023-12-27,2024-01-26,699.9699899999999,689.13108,TIME,29250.47,-481.96,-1.648,20,False,0,0.01,113596.03862117948
VTBR,2024-01-09,2024-02-06,124.58245699999999,122.317767,TIME,25617.99,-491.08,-1.917,20,False,0,0.01,113104.96346516603
CHMF,2024-01-11,2024-02-08,1444.1444,1590.04098,TIME,29379.84,2555.21,8.697,20,True,2,0.01,115660.1728816948
PLZL,2024-02-01,2024-02-09,1142.1142,1110.3274722446727,SL,34078.81,-982.07,-2.882,6,False,0,0.01,114678.104607272
AFLT,2024-02-05,2024-02-16,39.813981,38.33503863353315,SL,30660.19,-1169.0,-3.813,9,False,0,0.01,113509.101039152
MTSS,2024-02-06,2024-02-20,280.62806,272.7777195,SL,33931.49,-982.66,-2.896,10,False,0,0.01,112526.43846610471
MGNT,2024-02-16,2024-02-21,7485.24845,7232.514657178128,SL,33714.62,-1171.49,-3.475,3,False,0,0.01,111354.94419441458
LKOH,2024-02-06,2024-03-06,7145.7145,7498.75005,TIME,33931.49,1442.79,4.252,20,True,1,0.01,112797.73263137501
SBER,2024-02-13,2024-03-14,287.548752,298.47015,TIME,34403.43,1187.94,3.453,20,True,1,0.01,113985.67058086392
OZON,2024-03-05,2024-03-14,3395.3395,3223.2645762182715,SL,22013.52,-1137.1,-5.165,6,False,0,0.01,112848.57540591323
TATN,2024-03-12,2024-03-15,751.17511,732.9577007426667,SL,33839.32,-854.1,-2.524,3,False,0,0.01,111994.479263161
