ticker,entry_dt,exit_dt,entry,exit,reason,lot_rub,pnl_rub,pnl_pct,hold_d,win
CHMF,2022-02-16,2022-02-21,1660.96608,1544.6337588796985,SL,30000.0,-2130.117931843761,-7.10039310614587,5,False
PHOR,2022-03-29,2022-03-29,8840.884,8848.839911511599,SL,29360.96,261.218631373707,0.8896801445651199,0,True
PHOR,2022-05-19,2022-05-20,7951.7951,7731.9517275,SL,29439.33,-842.9418774367124,-2.863318823616952,1,False
IRAO,2022-06-27,2022-06-29,3.630363,3.6336299636636995,SL,29186.45,-1.6757309772848679,-0.005741468994293132,2,False
MGNT,2022-08-04,2022-08-24,4910.491,5317.96815,TIME,29185.94,1512.4555029005871,5.182137367857904,20,True
TATN,2022-08-23,2022-09-12,444.54445,441.75582,TIME,29185.94,-212.17797480836978,-0.7269869492240778,20,False
MGNT,2022-08-25,2022-09-14,5385.5385,5577.4422,TIME,29639.68,696.1299403599988,2.3486418893861165,20,True
OZON,2022-11-11,2022-11-15,1448.1448,1449.44798550552,SL,29784.87,21.456383252580565,0.0720378610099039,4,True
IRAO,2023-01-10,2023-01-19,3.570357,3.41795651822533,SL,29791.3,-1300.7953952368014,-4.366359961588791,9,False
PLZL,2023-01-26,2023-01-30,857.18571,885.5753531176696,SL,29401.07,578.2955426507306,1.9669200564834226,4,True
SBERP,2023-01-12,2023-02-01,149.204919,155.564442,TIME,29791.3,745.3707100854365,2.501974435776339,20,True
SBERP,2023-02-03,2023-02-07,158.045803,162.24139838686494,SL,29798.17,195.91553886518656,0.657475069325353,4,True
PHOR,2023-02-07,2023-02-07,6915.6915,6700.652493227052,SL,29798.17,-955.8899420247094,-3.2078813632673064,0,False
OZON,2023-01-19,2023-02-08,1563.65635,1709.32905,TIME,29791.3,737.0470449320488,2.474034516560368,20,True
SBERP,2023-02-10,2023-02-14,164.21642,160.25447295,SL,29791.29,-748.1877681014508,-2.5114312542405877,4,False
MAGN,2023-02-01,2023-02-15,36.0036,36.8655572411641,SL,28050.01,386.36196030913095,1.3774040020275606,14,True
PHOR,2023-02-10,2023-02-15,6825.6825,6552.364598957664,SL,24859.28,-1019.7911403536274,-4.102255336251201,5,False
CHMF,2023-03-02,2023-03-15,1061.1061,1028.43594612,SL,29376.8,-933.400162238455,-3.1773377707526174,13,False
MTLR,2023-03-17,2023-03-20,139.99399799999998,140.12,SL,20444.86,0.9284043574718481,0.004541015969157275,3,True
SNGSP,2023-03-24,2023-03-27,29.662966,30.35453812468056,SL,29097.06,163.1524096346382,0.5607178513383765,3,True
PHOR,2023-03-27,2023-03-28,7385.7384999999995,7189.9059375,SL,29097.06,-800.2186946348758,-2.750170273680144,1,False
AFLT,2023-03-28,2023-03-31,33.253325,31.36860456486939,SL,17169.97,-989.8370050382911,-5.764931476515631,3,False
VTBR,2023-04-05,2023-04-05,102.03020199999999,96.14474661912664,SL,16559.23,-971.2753639734107,-5.865462125795768,0,False
MTLR,2023-03-21,2023-04-10,145.81458,155.774421,TIME,18195.11,737.4637234926432,4.0530874696148755,20,True
AFLT,2023-04-07,2023-04-10,32.453245,33.280768590300006,SL,28317.61,174.47164046366828,0.6161241731334963,3,True
MTLR,2023-04-11,2023-04-11,162.796278,162.94277837057217,SL,16300.56,2.7434320121855027,0.016830293021745893,0,True
IRAO,2023-03-27,2023-04-17,3.6003600000000002,3.9296070000000003,TIME,29097.06,657.7240869309169,2.26044860522306,21,True
NVTK,2023-03-28,2023-04-17,1175.1175,1301.06988,TIME,22684.03,661.0487312578283,2.914159129827585,20,True
PLZL,2023-04-14,2023-04-17,989.39893,990.2892900971068,SL,26517.21,11.741231704222482,0.044277779239303386,3,True
TATNP,2023-03-29,2023-04-18,366.13661,399.66003,TIME,25649.6,595.8057203779008,2.322865543236155,20,True
MTLR,2023-04-12,2023-04-18,166.646663,182.25988383739258,SL,14819.39,356.2317072449521,2.4038216636781415,6,True
SNGS,2023-04-18,2023-04-21,25.162516,25.185159748148397,SL,27286.31,-1.3140033239295477,-0.004815613851523154,3,False
GMKN,2023-04-19,2023-04-21,159.055904,154.5633413851333,SL,29276.78,-855.791232604169,-2.923105726122097,2,False
VTBR,2023-04-24,2023-04-27,100.590058,104.64307489528862,SL,18403.91,435.8832275413135,2.368427293663757,3,True
IRAO,2023-04-18,2023-05-02,3.960396,3.9639599603603997,SL,28310.76,-1.6558461775363273,-0.005848822771046512,14,False
TATNP,2023-04-19,2023-05-02,399.53995,399.89949600100493,SL,29276.78,2.487444079308556,0.008496303484565435,13,True
NVTK,2023-04-26,2023-05-02,1316.93168,1281.411846,SL,29019.64,-811.3361601265327,-2.795817453719387,6,False
T,2023-04-28,2023-05-02,2782.77825,2671.3788354000003,SL,24331.11,-997.8604147022023,-4.101170948231307,4,False
PLZL,2023-04-18,2023-05-08,1036.90368,1045.8954,TIME,23582.83,180.81819890320662,0.7667366423080122,20,True
T,2023-05-19,2023-05-22,3000.3,3002.9999699699997,SL,20437.58,63.78964508492786,0.31211936581986643,3,True
IRAO,2023-05-19,2023-05-29,4.290429,4.171222836,SL,28662.15,-824.6190580424918,-2.8770314091667646,10,False
LKOH,2023-05-16,2023-06-02,5068.5068,5455.472930832539,SL,21850.55,660.2818290446613,3.0218087372842395,17,True
PHOR,2023-06-01,2023-06-02,7692.7692,7484.2515,SL,28433.9,-798.7685857611391,-2.809212193055258,1,False
T,2023-05-23,2023-06-06,3200.32,3203.199967968,SL,16266.29,72.27662082170383,0.4443337775344214,14,True
NVTK,2023-06-05,2023-06-06,1349.1349,1284.4777723890238,SL,19787.13,-967.6088044450412,-4.8900917133765285,1,False
NLMK,2023-06-01,2023-06-15,146.694668,157.3252694139707,SL,21803.47,397.96006003760635,1.8252143353218837,14,True
TATN,2023-06-01,2023-06-15,445.04449999999997,492.362263360893,SL,25714.73,694.9206618497768,2.7024225486706523,14,True
CHMF,2023-06-16,2023-06-19,1080.108,1101.3611177319287,SL,24994.5,294.8492136023884,1.1796563788128922,3,True
AFLT,2023-06-16,2023-06-23,43.50435,41.13687841261074,SL,17457.78,-967.0210473474731,-5.5391982677492395,7,False
SNGS,2023-06-20,2023-06-23,27.262726,26.0782036803108,SL,21944.07,-974.9024821364932,-4.442669396044094,3,False
GMKN,2023-06-20,2023-06-23,155.11551,150.49776495178074,SL,28540.07,-877.7451013657993,-3.0754833515327724,3,False
OZON,2023-06-20,2023-06-23,2036.2036,1965.863394,SL,27616.39,-981.1415140571198,-3.552750790588922,3,False
PLZL,2023-06-22,2023-06-23,1126.91268,1075.2928845527683,SL,20811.98,-973.6568760008586,-4.6783481244978065,1,False
CHMF,2023-07-03,2023-07-03,1177.31772,1178.3771882162278,SL,27107.73,9.579551798882775,0.03533881958719072,0,True
MGNT,2023-06-29,2023-07-19,5201.5201,5684.4315,TIME,14164.52,905.884801429222,6.395450050049151,20,True
SNGSP,2023-07-03,2023-07-24,41.90419,43.015698,TIME,16876.03,430.53658988510904,2.5511722240663772,21,True
ALRS,2023-07-03,2023-07-24,70.61706099999999,81.061893,TIME,21184.44,781.0253540490781,3.6867878218592427,21,True
OZON,2023-07-25,2023-07-25,2247.72475,2249.7474775025244,SL,17209.52,42.77423731848187,0.24854985681461117,0,True
MAGN,2023-07-10,2023-07-31,47.754775,53.49465,TP3,27110.6,2.9472650790684343,0.010871264667946983,21,True
MTLR,2023-08-01,2023-08-02,217.22171999999998,217.41719782582794,SL,16905.5,3.4049492327499618,0.02014107380881939,1,True
VTBR,2023-08-01,2023-08-03,129.51295,129.629498703705,SL,20073.27,0.9455546243434618,0.004710516145817108,2,True
AFLT,2023-07-24,2023-08-04,44.20442,45.216497898,SL,27382.37,151.18018563893077,0.5521077453811732,11,True
TATN,2023-08-03,2023-08-04,540.054,540.5399945945999,SL,24332.89,5.483526940365913,0.022535452798109524,1,True
GMKN,2023-08-04,2023-08-07,166.51665,162.1587825,SL,27760.86,-753.9204391848257,-2.7157675921597013,3,False
PLZL,2023-07-26,2023-08-08,1166.266615,1135.0789807499998,SL,27758.67,-769.6939809090239,-2.7728056888497323,13,False
NVTK,2023-07-28,2023-08-14,1496.1496,1624.23756,TP3,27758.67,92.73265396923023,0.33406735253969383,17,True
MTLR,2023-08-09,2023-08-14,226.0226,226.22599773774,SL,15611.91,3.9502920042383316,0.02530306672430428,5,True
ALRS,2023-08-14,2023-08-14,92.90929,87.37820728913617,SL,15338.54,-928.0170680265442,-6.050230778330559,0,False
SBERP,2023-08-09,2023-08-15,264.596457,257.4582516,SL,27350.77,-764.8428687740362,-2.7964217050343967,6,False
ROSN,2023-08-16,2023-08-16,546.3546299999999,529.03679103,SL,26871.92,-878.2070712790011,-3.2681217839253804,0,False
TATN,2023-08-08,2023-08-28,549.15491,588.9411,TIME,21754.02,940.9745588685621,4.325520335407258,20,True
LKOH,2023-08-29,2023-09-07,6674.16735,6680.173433198264,SL,23457.69,92.73561561265656,0.3953314056612418,9,True
TATNP,2023-08-31,2023-09-07,588.25882,588.7881941121179,SL,26890.75,3.9853380370967812,0.014820479299003491,7,True
IRAO,2023-09-07,2023-09-07,4.5504549999999995,4.342378765851858,SL,19643.61,-917.4273941881406,-4.67036045914239,0,False
NLMK,2023-10-05,2023-10-10,212.861284,206.66513142,SL,26644.54,-801.849336971354,-3.009432089919188,5,False
SNGSP,2023-10-02,2023-10-11,58.50585,54.82199131541933,SL,14126.36,-903.157016088737,-6.39341639381084,9,False
TATNP,2023-10-09,2023-10-11,641.0640999999999,622.0852852500001,SL,26644.54,-815.0663965110442,-3.0590372230522433,2,False
MTLR,2023-10-11,2023-10-19,233.283326,243.6311761496395,SL,15641.99,411.85716323323106,2.633022801019762,8,True
MGNT,2023-10-20,2023-10-31,5794.5794,5799.793942002059,SL,26012.07,62.55316968844931,0.24047747714214712,11,True
