ticker,entry_dt,exit_dt,entry,exit_price,reason,pos_rub,pnl_rub,pnl_pct,hold_days,win
CHMF,2022-02-16,2022-02-21,1660.96608,1544.6337588796985,SL,30000.0,-2130.12,-7.1,3,False
PHOR,2022-03-29,2022-03-30,8840.884,7676.63226,SL,29360.96,-3893.96,-13.262,1,False
GAZP,2022-06-09,2022-06-30,310.031,287.25330104207376,SL,28192.78,-2098.46,-7.443,14,False
MGNT,2022-08-04,2022-09-01,4910.491,5479.452,TIME,27563.24,2702.49,9.805,20,True
OZON,2022-11-14,2022-12-12,1469.1469,1429.857,TIME,28373.99,-786.81,-2.773,20,False
IRAO,2023-01-10,2023-01-19,3.570357,3.41795651822533,SL,28137.95,-1228.6,-4.366,7,False
PHOR,2023-02-07,2023-02-08,6915.6915,6700.652493227052,SL,27769.36,-890.81,-3.208,1,False
SBERP,2023-01-12,2023-02-09,149.204919,163.073691,TIME,28137.95,2096.94,7.452,20,True
PLZL,2023-01-26,2023-02-14,857.18571,890.4739501624234,SL,27769.36,1662.46,5.987,13,True
OZON,2023-01-19,2023-02-15,1563.65635,1565.0634843493647,SL,27769.36,472.47,1.701,19,True
MAGN,2023-02-01,2023-02-15,36.0036,36.03599963963999,SL,27769.36,325.14,1.171,10,True
SBER,2023-02-10,2023-02-15,165.0165,158.75261201131653,SL,28131.2,-1095.43,-3.894,3,False
MAGN,2023-03-10,2023-03-17,41.174117,39.53255953786091,SL,23919.78,-977.09,-4.085,5,False
PHOR,2023-03-27,2023-03-28,7385.7384999999995,7139.65658985331,SL,28247.47,-968.94,-3.43,1,False
AFLT,2023-03-28,2023-03-31,33.253325,31.36860456486939,SL,16469.39,-949.45,-5.765,3,False
VTBR,2023-04-05,2023-04-06,102.03020199999999,96.14474661912664,SL,16016.86,-939.46,-5.865,1,False
MTLR,2023-03-17,2023-04-14,139.99399799999998,177.78222000000002,TIME,14749.28,2617.93,17.75,20,True
PLZL,2023-04-14,2023-04-17,989.39893,990.2892900971068,SL,24987.31,317.91,1.272,1,True
SNGSP,2023-03-24,2023-04-21,29.662966,36.34154452320408,TP3,26175.12,3387.27,12.941,20,True
TATNP,2023-03-28,2023-04-25,363.33633000000003,413.9586,TIME,27242.23,2658.64,9.759,20,True
IRAO,2023-03-30,2023-04-27,3.760376,4.079592,TIME,24603.05,1746.76,7.1,20,True
AFLT,2023-03-31,2023-04-28,32.853285,40.245975,TIME,17368.13,2630.2,15.144,20,True
MTLR,2023-04-14,2023-05-02,177.81778,177.97779822022198,SL,14179.93,306.75,2.163,11,True
IRAO,2023-04-27,2023-05-02,4.080408,3.9648991690114244,SL,30608.66,-896.65,-2.929,2,False
TATNP,2023-04-28,2023-05-02,414.14141,399.25141978085793,SL,29187.53,-1078.07,-3.694,1,False
AFLT,2023-04-28,2023-05-04,40.254025,37.60717382213839,SL,15939.48,-1063.5,-6.672,3,False
PLZL,2023-04-18,2023-05-18,1036.90368,1044.59553,TIME,22996.9,147.51,0.641,20,True
VTBR,2023-04-24,2023-05-24,100.590058,118.9881,TIME,18573.49,2658.46,14.313,20,True
IRAO,2023-05-19,2023-05-29,4.290429,4.123590077435917,SL,26314.68,-1049.08,-3.987,6,False
