<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;60;03/01/22;100000;280.5;282.0;279.0;281.0;1500000
SBER;60;03/01/22;110000;281.0;283.5;280.0;283.0;1200000
SBER;60;03/01/22;120000;283.0;285.0;282.0;284.5;900000
SBER;60;03/01/22;130000;284.5;286.0;283.5;285.0;800000
SBER;60;03/01/22;140000;285.0;287.0;284.0;286.5;750000
SBER;60;03/01/22;150000;286.5;288.0;285.5;287.0;700000
SBER;60;03/01/22;160000;287.0;289.0;286.5;288.5;650000
SBER;60;03/01/22;170000;288.5;290.0;287.0;289.0;600000
SBER;60;03/01/22;180000;289.0;291.0;288.0;290.5;580000
SBER;60;03/01/22;190000;290.5;292.0;289.5;291.0;560000
